Graduating Class,Fall Freshman Year,District,District Name,Graduates,Total Cohort,Graduation Rate,Graduation Rate Category
2016,2012,0108,Alden,,,,Not Reportable
2017,2013,4787,North Winneshiek,,,,Not Reportable
2009,2005,3705,Lineville-Clio,,,,Not Reportable
2017,2013,1675,Delwood,,,,Not Reportable
2014,2010,5160,PCM,65,70,92.90,90.1 - 100%
2016,2012,6246,Stratford,,,,Not Reportable
2010,2006,5160,PCM,74,86,86.10,80.1 - 90%
2013,2009,0171,Alta,51,51,100.00,90.1 - 100%
2017,2013,2727,Grundy Center,53,53,100.00,90.1 - 100%
2014,2010,1503,Creston,101,111,91.00,90.1 - 100%
2011,2007,3705,Lineville-Clio,,,,Not Reportable
2009,2005,4725,Newton,220,254,86.60,80.1 - 90%
2009,2005,5256,Pleasantville,53,55,96.40,90.1 - 100%
2017,2013,4041,Maquoketa,123,133,92.50,90.1 - 100%
2017,2013,3150,Iowa Falls,94,100,94.00,90.1 - 100%
2017,2013,2403,Garner-Hayfield-Ventura,81,84,96.40,90.1 - 100%
2012,2008,2754,Guthrie Center,40,44,90.90,90.1 - 100%
2013,2009,1975,River Valley,24,26,92.30,90.1 - 100%
2011,2007,6937,West Burlington,49,56,87.50,80.1 - 90%
2010,2006,3231,Johnston,384,398,96.50,90.1 - 100%
2013,2009,2673,Nodaway Valley,58,60,96.70,90.1 - 100%
2009,2005,2709,Grinnell-Newburg,115,132,87.10,80.1 - 90%
2011,2007,1368,Columbus,50,65,76.90,70.1 - 80%
2014,2010,6700,Waco,28,31,90.30,90.1 - 100%
2013,2009,1206,Clarion-Goldfield,60,63,95.20,90.1 - 100%
2011,2007,1576,Dallas Center-Grimes,130,139,93.50,90.1 - 100%
2016,2012,4785,North Tama County,34,39,87.20,80.1 - 90%
2010,2006,4043,Maquoketa Valley,66,68,97.10,90.1 - 100%
2017,2013,3609,Lenox,35,36,97.20,90.1 - 100%
2010,2006,6039,Sioux City,748,945,79.20,70.1 - 80%
2016,2012,1863,Dubuque,701,781,89.80,80.1 - 90%
2012,2008,0918,Calamus-Wheatland,36,38,94.70,90.1 - 100%
2013,2009,2727,Grundy Center,47,49,95.90,90.1 - 100%
2017,2013,1638,Decorah,120,124,96.80,90.1 - 100%
2014,2010,0914,CAM,33,46,71.70,70.1 - 80%
2011,2007,4086,Marion,119,136,87.50,80.1 - 90%
2012,2008,6987,West Monona,49,51,96.10,90.1 - 100%
2012,2008,6030,Sioux Center,64,73,87.70,80.1 - 90%
2016,2012,3119,Interstate 35,62,65,95.40,90.1 - 100%
2015,2011,6101,Southeast Polk,445,456,97.60,90.1 - 100%
2017,2013,5643,Roland-Story,69,74,93.20,90.1 - 100%
2016,2012,1062,Center Point-Urbana,96,104,92.30,90.1 - 100%
2010,2006,6651,Villisca,22,24,91.70,90.1 - 100%
2016,2012,3600,Le Mars,158,163,96.90,90.1 - 100%
2009,2005,4774,North Fayette,76,82,92.70,90.1 - 100%
2010,2006,1044,Cedar Falls,349,363,96.10,90.1 - 100%
2014,2010,6035,Sioux Central,59,64,92.20,90.1 - 100%
2012,2008,0063,Akron Westfield,41,42,97.60,90.1 - 100%
2015,2011,1944,Eagle Grove,52,56,92.90,90.1 - 100%
2015,2011,2113,Essex,13,13,100.00,90.1 - 100%
2013,2009,4212,Melcher-Dallas,33,33,100.00,90.1 - 100%
2015,2011,2754,Guthrie Center,31,33,93.90,90.1 - 100%
2012,2008,2977,Highland,47,55,85.50,80.1 - 90%
